Sequence,Company Area
1,Not Mentioned / Unknown
2,Not Mentioned / Unknown
3,Not Mentioned / Unknown
4,Not Mentioned / Unknown
5,Not Mentioned / Unknown
6,Not Mentioned / Unknown
7,Healthcare & Genomics
8,Not Mentioned / Unknown
9,Not Mentioned / Unknown
10,HPC / AI Infrastructure & Consulting
11,Not Mentioned / Unknown
12,Not Mentioned / Unknown
13,Defense / Government & National Labs
14,Not Mentioned / Unknown
15,Not Mentioned / Unknown
16,Not Mentioned / Unknown
17,Not Mentioned / Unknown
18,Not Mentioned / Unknown
19,Not Mentioned / Unknown
20,Not Mentioned / Unknown
21,Technology & Cloud Providers
22,Technology & Cloud Providers
23,Semiconductor & Hardware
24,Not Mentioned / Unknown
25,IT Services / Consulting & Systems Integration
26,Not Mentioned / Unknown
27,Semiconductor & Hardware
28,Technology & Cloud Providers
29,Automotive / Aerospace & Industrial
30,IT Services / Consulting & Systems Integration
31,Not Mentioned / Unknown
32,Healthcare & Genomics
33,Defense / Government & National Labs
34,Not Mentioned / Unknown
35,Defense / Government & National Labs
36,Not Mentioned / Unknown
37,Defense / Government & National Labs
38,Technology & Cloud Providers
39,Healthcare & Genomics
40,Defense / Government & National Labs
41,Technology & Cloud Providers
42,Technology & Cloud Providers
43,Not Mentioned / Unknown
44,Not Mentioned / Unknown
45,Financial Services & Trading
46,Research & Academia
47,Not Mentioned / Unknown
48,Defense / Government & National Labs
49,Not Mentioned / Unknown
50,Semiconductor & Hardware
51,Defense / Government & National Labs
52,Not Mentioned / Unknown
53,Financial Services & Trading
54,Healthcare & Genomics
55,Not Mentioned / Unknown
56,Not Mentioned / Unknown
57,Technology & Cloud Providers
58,Technology & Cloud Providers
59,IT Services / Consulting & Systems Integration
60,Not Mentioned / Unknown
61,Not Mentioned / Unknown
62,HPC / AI Infrastructure & Consulting
63,Semiconductor & Hardware
64,Semiconductor & Hardware
65,Defense / Government & National Labs
66,Semiconductor & Hardware
67,Healthcare & Genomics
68,Research & Academia
69,Technology & Cloud Providers
70,Technology & Cloud Providers
71,Research & Academia
72,Research & Academia
73,Technology & Cloud Providers
74,IT Services / Consulting & Systems Integration
75,IT Services / Consulting & Systems Integration
76,Technology & Cloud Providers
77,Research & Academia
78,Technology & Cloud Providers
79,Semiconductor & Hardware
80,Technology & Cloud Providers
81,Defense / Government & National Labs
82,Technology & Cloud Providers
83,Technology & Cloud Providers
84,Defense / Government & National Labs
85,Technology & Cloud Providers
86,Research & Academia
87,IT Services / Consulting & Systems Integration
88,IT Services / Consulting & Systems Integration
89,HPC / AI Infrastructure & Consulting
90,Semiconductor & Hardware
91,Technology & Cloud Providers
92,Technology & Cloud Providers
93,Technology & Cloud Providers
94,Technology & Cloud Providers
95,Semiconductor & Hardware
96,Semiconductor & Hardware
97,Defense / Government & National Labs
98,Technology & Cloud Providers
99,Technology & Cloud Providers
100,Technology & Cloud Providers
101,Technology & Cloud Providers
102,Technology & Cloud Providers
103,Technology & Cloud Providers
104,Technology & Cloud Providers
105,Technology & Cloud Providers
106,Technology & Cloud Providers
107,IT Services / Consulting & Systems Integration
108,Technology & Cloud Providers
109,Defense / Government & National Labs
110,Technology & Cloud Providers
111,Technology & Cloud Providers
112,IT Services / Consulting & Systems Integration
113,Technology & Cloud Providers
114,IT Services / Consulting & Systems Integration
115,IT Services / Consulting & Systems Integration
116,Technology & Cloud Providers
117,Technology & Cloud Providers
118,Semiconductor & Hardware
119,Technology & Cloud Providers
120,Technology & Cloud Providers
121,Technology & Cloud Providers
122,Technology & Cloud Providers
123,Technology & Cloud Providers
124,Technology & Cloud Providers
125,IT Services / Consulting & Systems Integration
126,Defense / Government & National Labs
127,IT Services / Consulting & Systems Integration
128,Technology & Cloud Providers
129,Research & Academia
130,Technology & Cloud Providers
131,Technology & Cloud Providers
132,Technology & Cloud Providers
133,Technology & Cloud Providers
134,Technology & Cloud Providers
135,Technology & Cloud Providers
136,Research & Academia
137,Technology & Cloud Providers
138,Technology & Cloud Providers
139,Technology & Cloud Providers
140,Technology & Cloud Providers
141,Automotive / Aerospace & Industrial
142,IT Services / Consulting & Systems Integration
143,IT Services / Consulting & Systems Integration
144,Semiconductor & Hardware
145,Semiconductor & Hardware
146,Research & Academia
147,Defense / Government & National Labs
148,IT Services / Consulting & Systems Integration
149,IT Services / Consulting & Systems Integration
150,Technology & Cloud Providers
151,Defense / Government & National Labs
152,Technology & Cloud Providers
153,Automotive / Aerospace & Industrial
154,Defense / Government & National Labs
155,IT Services / Consulting & Systems Integration
156,Defense / Government & National Labs
157,Defense / Government & National Labs
158,Technology & Cloud Providers
159,Defense / Government & National Labs
160,IT Services / Consulting & Systems Integration
161,IT Services / Consulting & Systems Integration
162,Defense / Government & National Labs
163,Defense / Government & National Labs
164,Defense / Government & National Labs
165,Defense / Government & National Labs
166,Healthcare & Genomics
167,Defense / Government & National Labs
168,Defense / Government & National Labs
169,Defense / Government & National Labs
170,Defense / Government & National Labs
171,Energy / Utilities
172,Technology & Cloud Providers
173,IT Services / Consulting & Systems Integration
174,Technology & Cloud Providers
175,Defense / Government & National Labs
176,Defense / Government & National Labs
177,Technology & Cloud Providers
178,Defense / Government & National Labs
179,Research & Academia
180,Research & Academia
181,Research & Academia
182,Technology & Cloud Providers
183,Defense / Government & National Labs
184,Healthcare & Genomics
185,Telecommunications
186,Electronics & PCB Manufacturing
187,Networking & Storage
188,Technology & Cloud Providers
189,Technology & Cloud Providers
190,HPC / AI Infrastructure & Consulting
191,HPC / AI Infrastructure & Consulting
192,IT Services / Consulting & Systems Integration
193,Energy / Utilities
194,Networking & Storage
195,Automotive / Aerospace & Industrial
196,Technology & Cloud Providers
197,Technology & Cloud Providers
198,Networking & Storage
199,Not Mentioned / Unknown
200,Research & Academia
201,IT Services / Consulting & Systems Integration
202,Automotive / Aerospace & Industrial
203,Technology & Cloud Providers
204,Technology & Cloud Providers
205,Research & Academia
206,Not Mentioned / Unknown
207,Not Mentioned / Unknown
208,Automotive / Aerospace & Industrial
209,Semiconductor & Hardware
210,Technology & Cloud Providers
211,Not Mentioned / Unknown
212,Technology & Cloud Providers
213,Technology & Cloud Providers
214,Automotive / Aerospace & Industrial
215,Defense / Government & National Labs
216,Financial Services & Trading
217,Energy / Utilities
218,IT Services / Consulting & Systems Integration
219,IT Services / Consulting & Systems Integration
220,Defense / Government & National Labs
221,IT Services / Consulting & Systems Integration
222,Defense / Government & National Labs
223,Technology & Cloud Providers
224,Semiconductor & Hardware
225,Semiconductor & Hardware
226,Financial Services & Trading
227,IT Services / Consulting & Systems Integration
228,Aerospace & Industrial
229,Research & Academia
230,IT Services / Consulting & Systems Integration
231,Defense / Government & National Labs
232,IT Services / Consulting & Systems Integration
233,Technology & Cloud Providers
234,Technology & Cloud Providers
235,Defense / Government & National Labs
236,Technology & Cloud Providers
237,IT Services / Consulting & Systems Integration
238,Financial Services & Trading
239,IT Services / Consulting & Systems Integration
240,Technology & Cloud Providers
241,Defense / Government & National Labs
242,IT Services / Consulting & Systems Integration
243,Defense / Government & National Labs
244,Semiconductor & Hardware
245,Semiconductor & Hardware
246,Financial Services & Trading
247,Research & Academia
248,Aerospace & Industrial
249,IT Services / Consulting & Systems Integration
250,Defense / Government & National Labs
251,IT Services / Consulting & Systems Integration
252,Technology & Cloud Providers
253,Technology & Cloud Providers
254,Defense / Government & National Labs
255,Technology & Cloud Providers
256,IT Services / Consulting & Systems Integration
257,Financial Services & Trading
258,IT Services / Consulting & Systems Integration
259,Technology & Cloud Providers
260,Defense / Government & National Labs
261,IT Services / Consulting & Systems Integration
262,Defense / Government & National Labs
263,Semiconductor & Hardware
264,Semiconductor & Hardware
265,Financial Services & Trading
266,Research & Academia
267,Aerospace & Industrial
268,IT Services / Consulting & Systems Integration
269,Defense / Government & National Labs
270,IT Services / Consulting & Systems Integration
271,Technology & Cloud Providers